StateName,housingPercentChange
AL,72.95828977984782
AR,84.30944753387612
AZ,112.0486713011563
CA,93.57278454601878
CO,99.25364963856617
CT,69.5431829837537
FL,123.81427060042031
GA,107.48022596473938
HI,58.30864087687958
IA,75.20649078217872
ID,156.52682977092005
IL,67.7844750229128
IN,107.80917243458825
KS,73.31950651488194
KY,86.90217055456552
LA,25.536694783630693
MA,88.61830055990025
MD,62.539528060096195
MI,94.91896734189183
MN,68.93637051766926
MO,90.25223273828
MS,77.67093404241152
NC,103.51399720535548
NE,93.62318484308811
NJ,80.60902827687191
NM,85.19335274714855
NV,118.1703200360916
NY,79.13179500772766
OH,93.69022051748995
OK,59.27352960580746
OR,101.60112303342525
PA,74.09473704819683
RI,99.81370336728152
SC,97.95343789385757
TN,111.986895677913
TX,73.88943902546225
USA,93.60425798594207
UT,126.13566212421487
VA,72.07203513631829
WA,123.11163463299609
WI,86.7102539808532
WY,61.16459465301204
